orf	gene	swamy.midlog	swamy.hs	swamy.hs.ratio	ger.unstressed_noCHX	ger.heatshock_noCHX	ger.hs.ratio.nochx	tf..type
YDR214W	AHA1	54.91919	1361.7965	24.79637	109.075	1278.421	11.62318	HDG
YHL021C	AIM17	62.14432	713.799	11.486149	14.171	503.031	33.22332	Msn24
YOR374W	ALD4	38.99724	393.4635	10.089522	39.86	1192.248	29.20333	Msn24
YGL156W	AMS1	1.88982	31.9648	16.914223	3.436	56.627	12.99076	other
YKL103C	APE1	15.38537	186.9882	12.15364	34.765	536.901	15.03987	other
YNL077W	APJ1	27.32506	512.7474	18.764733	5.932	124.059	18.04083	Hig
YDR380W	ARO10	15.3142	405.0458	26.44904	4.323	749.712	141.03175	other
YHR137W	ARO9	24.98247	1116.6843	44.698724	10.369	897.29	79.01223	other
YAL061W	BDH2	5.11926	142.9774	27.929308	1.771	56.58	20.7795	Msn24
YJR078W	BNA2	1.14637	82.7083	72.148017	3.75	59.646	12.76758	other
YGR142W	BTN2	36.12788	7239.4803	200.384855	5.57	1170.443	178.30183	HDG
YOL016C	CMK2	144.67668	2232.6319	15.431871	24.471	283.978	11.18833	other
YLR216C	CPR6	120.53159	4139.5314	34.343954	324.97	6442.511	19.76719	HDG
YOR100C	CRC1	0.27133	13.9552	51.432964	0.243	12.579	10.92438	other
YGR088W	CTT1	6.63498	300.3475	45.26726	0.451	73.21	51.14404	Msn24
YPR158W	CUR1	23.8527	472.7201	19.818303	8.869	175.228	17.85672	HDG
YEL039C	CYC7	4.6228	232.0726	50.201794	1.185	279.233	128.25309	other
YOR173W	DCS2	4.70104	186.0146	39.568804	0.932	170.126	88.57453	Msn24
YOL052C-A	DDR2	4.78787	1164.3923	243.196063	1.251	1475.351	655.8645	other
YER035W	EDC2	38.41222	444.8635	11.581301	22.914	444.557	18.63164	HIG
YBR101C	FES1	129.66042	2979.4503	22.978874	69.951	1472.096	20.76216	HDG
YDR070C	FMP16	2.96932	65.8323	22.17087	2.955	95.564	24.41568	other
YDL222C	FMP45	3.54394	95.6455	26.988514	0.432	343.523	240.58869	Msn24
YMR250W	GAD1	10.41169	289.5636	27.811405	5.255	138.951	22.37426	Msn24
YCL040W	GLK1	128.19002	1739.2039	13.567389	65.04	1808.507	27.40017	Msn24
YGR256W	GND2	1.52017	52.1694	34.318019	1.248	108.136	48.54804	Msn24
YNL274C	GOR1	9.56574	159.411	16.664794	8.616	324.018	33.79971	Msn24
YPL223C	GRE1	0.86554	28.1171	32.485217	1.057	20.316	10.36266	other
YHR104W	GRE3	47.76523	1819.2337	38.086987	73.985	1677.845	22.38908	HIG
